;barrio;valor_b
0;a;Barri la Dreta de l'Eixample
2;Població;44.325
6;Dones;23.662
7;Homes;20.663
11;25-64;57,9
12;65 i mes;21,3
28;% Titulats superiors i CFGS (1);52,8
30;Població de més de 65 anys que viu sola (%) (2);27,1
31;Índex de sobreenvelliment  (3);54,0
35;Nombre d'aturats registrats (5);1.255
36;Renda familiar disponible per habitant (2017);175,9
