;barrio;valor_b
0;a;Barri la Font de la Guatlla
2;Població;10.377
6;Dones;5.476
7;Homes;4.901
11;25-64;58,0
12;65 i mes;23,5
28;% Titulats superiors i CFGS (1);31,9
30;Població de més de 65 anys que viu sola (%) (2);24,9
31;Índex de sobreenvelliment  (3);51,9
35;Nombre d'aturats registrats (5);516
36;Renda familiar disponible per habitant (2017);82,9
