;barrio;valor_b
0;a;Barri l'Antiga Esquerra de l'Eixample
2;Població;43.228
6;Dones;22.910
7;Homes;20.318
11;25-64;59,9
12;65 i mes;20,8
28;% Titulats superiors i CFGS (1);49,7
30;Població de més de 65 anys que viu sola (%) (2);29,0
31;Índex de sobreenvelliment  (3);54,4
35;Nombre d'aturats registrats (5);1.345
36;Renda familiar disponible per habitant (2017);137,2
