;barrio;valor_b
0;a;El Barri Gòtic
2;Població;21.715
6;Dones;8.674
7;Homes;13.041
11;25-64;71,8
12;65 i mes;10,1
28;% Titulats superiors i CFGS (1);32,7
30;Població de més de 65 anys que viu sola (%) (2);30,2
31;Índex de sobreenvelliment  (3);50,2
35;Nombre d'aturats registrats (5);892
36;Renda familiar disponible per habitant (2017);106,1
