;barrio;valor_b
0;a;Barri Hostafrancs
2;Població;16.203
6;Dones;8.467
7;Homes;7.736
11;25-64;61,5
12;65 i mes;19,2
28;% Titulats superiors i CFGS (1);33,6
30;Població de més de 65 anys que viu sola (%) (2);24,7
31;Índex de sobreenvelliment  (3);48,9
35;Nombre d'aturats registrats (5);684
36;Renda familiar disponible per habitant (2017);99,0
