;barrio;valor_b
0;a;Barri la Barceloneta
2;Població;15.112
6;Dones;7.613
7;Homes;7.499
11;25-64;66,4
12;65 i mes;17,0
28;% Titulats superiors i CFGS (1);30,6
30;Població de més de 65 anys que viu sola (%) (2);32,8
31;Índex de sobreenvelliment  (3);58,1
35;Nombre d'aturats registrats (5);978
36;Renda familiar disponible per habitant (2017);79,6
