;barrio;valor_b
0;a;Barri la Marina de Port
2;Població;31.352
6;Dones;16.302
7;Homes;15.050
11;25-64;56,2
12;65 i mes;19,9
28;% Titulats superiors i CFGS (1);16,8
30;Població de més de 65 anys que viu sola (%) (2);25,4
31;Índex de sobreenvelliment  (3);53,8
35;Nombre d'aturats registrats (5);1.548
36;Renda familiar disponible per habitant (2017);69,3
