;barrio;valor_b
0;a;Barri la Marina del Prat Vermell
2;Població;1.227
6;Dones;594
7;Homes;633
11;25-64;61,1
12;65 i mes;18,1
28;% Titulats superiors i CFGS (1);7,8
30;Població de més de 65 anys que viu sola (%) (2);31,5
31;Índex de sobreenvelliment  (3);53,2
35;Nombre d'aturats registrats (5);93
36;Renda familiar disponible per habitant (2017);40,0
